Datetime,PJME_MW,year,month,hour,day_num,day_of_month,week_of_year,is_weekend,lag_1,lag_24,lag_168,rolling_mean_24,rolling_std_24
2012-06-12 04:00:00,0.2409775624144106,2012,6,4,1,12,24,0,0.24934162014115668,0.2433582639839882,0.14762456546929315,0.5095878598450364,0.5389263558495948
2012-06-12 05:00:00,0.24712946381544298,2012,6,5,1,12,24,0,0.2409775624144106,0.24769830401348358,0.15552512377541344,0.5094449839169751,0.5397044867533525
2012-06-12 06:00:00,0.2777204255767407,2012,6,6,1,12,24,0,0.24712946381544298,0.27407563467818397,0.18455704203097018,0.5094108454208895,0.5398856268690428
2012-06-12 07:00:00,0.3334667649847256,2012,6,7,1,12,24,0,0.2777204255767407,0.3288739070894343,0.23960813230801647,0.5096295846735853,0.5388840157210747
2012-06-12 08:00:00,0.3899294216791319,2012,6,8,1,12,24,0,0.3334667649847256,0.3962288001685452,0.2868008005899083,0.5099052214197569,0.5380109022668351
2012-06-12 09:00:00,0.4203729063520488,2012,6,9,1,12,24,0,0.3899294216791319,0.4432950595175392,0.3088380912251132,0.509527169185329,0.5386059888218148
2012-06-12 10:00:00,0.4421573791214579,2012,6,10,1,12,24,0,0.4203729063520488,0.4858738017486569,0.3249341620141156,0.5081515142319596,0.5393769856107163
2012-06-12 11:00:00,0.46274096702833667,2012,6,11,1,12,24,0,0.4421573791214579,0.5287896344675024,0.3409248920257031,0.5055279075883555,0.5385830227528042
2012-06-12 12:00:00,0.4720530917518171,2012,6,12,1,12,24,0,0.46274096702833667,0.5637627725692615,0.3507215843252923,0.5015640488762113,0.5338956809901375
2012-06-12 13:00:00,0.4732539766143474,2012,6,13,1,12,24,0,0.4720530917518171,0.59167807858422,0.35341830822711473,0.49606016467399006,0.5236602902531312
2012-06-12 14:00:00,0.47283261350468764,2012,6,14,1,12,24,0,0.4732539766143474,0.6140945960181186,0.3558200779521753,0.4889530355444963,0.5065784079698332
2012-06-12 15:00:00,0.4667439165701043,2012,6,15,1,12,24,0,0.47283261350468764,0.6236174022964289,0.3530390814284209,0.48047530901660884,0.4816908785394881
2012-06-12 16:00:00,0.46029706099231005,2012,6,16,1,12,24,0,0.4667439165701043,0.6244179922047824,0.35160644685557774,0.4710606704294874,0.4506139196307767
2012-06-12 17:00:00,0.4601917202148952,2012,6,17,1,12,24,0,0.46029706099231005,0.6142842094174654,0.3515643105446118,0.4612110821144625,0.41502981965362007
2012-06-12 18:00:00,0.45865374486463706,2012,6,18,1,12,24,0,0.4601917202148952,0.5986516380490887,0.3497524491730749,0.4519633428415365,0.3789119295871556
2012-06-12 19:00:00,0.4467291688612661,2012,6,19,1,12,24,0,0.45865374486463706,0.5620141156641736,0.33546823975560935,0.4435614796382835,0.3444863812617489
2012-06-12 20:00:00,0.4387443379332139,2012,6,20,1,12,24,0,0.4467291688612661,0.52933740651006,0.3291056567997471,0.43664274443163176,0.319194122524053
2012-06-12 21:00:00,0.44026124512798903,2012,6,21,1,12,24,0,0.4387443379332139,0.5199199410091646,0.33753291899294213,0.4312058728328375,0.3017585543816672
2012-06-12 22:00:00,0.4238491520067418,2012,6,22,1,12,24,0,0.44026124512798903,0.4952280627831033,0.33180238070156953,0.4264252189921304,0.2859098563734278
2012-06-12 23:00:00,0.3746550089539661,2012,6,23,1,12,24,0,0.4238491520067418,0.4291372590329716,0.2796165595702096,0.422141469927778,0.27435264886411714
2012-06-13 00:00:00,0.3162119456441589,2012,6,0,2,13,24,0,0.3746550089539661,0.36003370904877274,0.22635626250921725,0.41887176063603804,0.2730225919352034
2012-06-13 01:00:00,0.2694617086274097,2012,6,1,2,13,24,0,0.3162119456441589,0.3046455282839987,0.18586326767091543,0.41624183204871434,0.2788066754666183
2012-06-13 02:00:00,0.23830190666807116,2012,6,2,2,13,24,0,0.2694617086274097,0.27131570630991253,0.1623090698409354,0.41413030284639174,0.28769422258036725
2012-06-13 03:00:00,0.2212577688823344,2012,6,3,2,13,24,0,0.23830190666807116,0.24934162014115668,0.14920467713051722,0.4121490056846917,0.2983167299813333
2012-06-13 04:00:00,0.21219846202464976,2012,6,4,2,13,24,0,0.2212577688823344,0.2409775624144106,0.14522279574423258,0.41046357548906554,0.3083552489888377
2012-06-13 05:00:00,0.21738122827346462,2012,6,5,2,13,24,0,0.21219846202464976,0.24712946381544298,0.15419782997998527,0.40873642046489034,0.3189082768765388
2012-06-13 06:00:00,0.2467081007057832,2012,6,6,2,13,24,0,0.21738122827346462,0.2777204255767407,0.18074370588854943,0.4069511035584955,0.3291056253880015
2012-06-13 07:00:00,0.29682924259981036,2012,6,7,2,13,24,0,0.2467081007057832,0.3334667649847256,0.23710102180554093,0.4050899233274665,0.337375277229226
2012-06-13 08:00:00,0.3507426524807753,2012,6,8,2,13,24,0,0.29682924259981036,0.3899294216791319,0.28939218371431574,0.40289115130181463,0.342645641570555
2012-06-13 09:00:00,0.38314547561361,2012,6,9,2,13,24,0,0.3507426524807753,0.4203729063520488,0.31819235225955966,0.40053938823815005,0.3434065290902403
2012-06-13 10:00:00,0.4043611081849784,2012,6,10,2,13,24,0,0.38314547561361,0.4421573791214579,0.33799641841356787,0.3983052133276688,0.3414524830665472
2012-06-13 11:00:00,0.4247340145370273,2012,6,11,2,13,24,0,0.4043611081849784,0.46274096702833667,0.35699989465922255,0.39603689992110214,0.33754539408057016
